id;ville;annee;mois;temp_moy;temp_max_moy;temp_min_moy;precipitation_mm;ensoleillement_h
1;Lille;1950;1;2.7;7.8;-3.1;50;57
2;Lille;1950;2;4.4;9.4;-0.1;51;67
3;Lille;1950;3;6.5;12.9;1.9;49;113
4;Lille;1950;4;11.1;17.1;5.1;35;164
5;Lille;1950;5;13.4;19.6;9.1;44;174
6;Lille;1950;6;17.7;22.3;13.0;52;158
7;Lille;1950;7;19.5;24.8;14.8;57;178
8;Lille;1950;8;18.3;23.4;13.9;74;156
9;Lille;1950;9;16.5;21.0;10.8;68;125
10;Lille;1950;10;11.6;18.0;6.0;61;73
11;Lille;1950;11;7.6;12.6;1.6;52;45
12;Lille;1950;12;3.7;9.2;-2.0;46;37
13;Paris;1950;1;4.3;10.8;-0.6;42;67
14;Paris;1950;2;7.2;13.4;2.5;35;83
15;Paris;1950;3;10.2;14.7;5.9;54;119
16;Paris;1950;4;13.0;17.7;7.4;43;160
17;Paris;1950;5;15.9;21.3;10.0;47;162
18;Paris;1950;6;19.8;24.9;15.5;59;186
19;Paris;1950;7;21.5;26.4;16.7;64;194
20;Paris;1950;8;21.3;26.5;15.9;65;214
21;Paris;1950;9;18.1;24.5;12.7;59;137
22;Paris;1950;10;12.6;17.2;8.3;72;124
23;Paris;1950;11;8.0;13.5;3.5;55;69
24;Paris;1950;12;5.3;10.1;1.0;43;58
25;Nantes;1950;1;4.4;10.2;-0.8;85;77
26;Nantes;1950;2;6.1;11.2;1.9;48;74
27;Nantes;1950;3;8.9;14.6;4.5;51;126
28;Nantes;1950;4;11.3;16.2;6.7;62;182
29;Nantes;1950;5;16.1;21.0;10.9;54;193
30;Nantes;1950;6;17.4;23.3;11.6;36;202
31;Nantes;1950;7;21.0;26.9;16.8;44;258
32;Nantes;1950;8;20.3;26.3;15.5;55;196
33;Nantes;1950;9;16.7;22.8;11.8;42;153
34;Nantes;1950;10;13.7;20.1;7.8;71;120
35;Nantes;1950;11;9.3;15.5;3.6;61;85
36;Nantes;1950;12;8.8;13.6;3.1;75;76
