Titre,Plateforme,Annee,Genre,Editeur,Ventes_Monde,Note_Metacritic,PEGI,Multijoueur
Wii Sports,Wii,2006,Sport,Nintendo,82.74,76,3,Oui
Animal Crossing New Horizons,Switch,2020,Simulation,Nintendo,42.31,90,3,Oui
Super Mario Bros,NES,1985,Plateforme,Nintendo,40.24,88,3,Non
Mario Kart 8 Deluxe,Switch,2017,Course,Nintendo,38.54,92,3,Oui
GTA V,PS4,2013,Action,Rockstar,35.05,97,18,Oui
Wii Sports Resort,Wii,2009,Sport,Nintendo,33.12,80,7,Oui
Minecraft,PC,2011,Sandbox,Mojang,33.15,93,7,Oui
Mario Kart Wii,Wii,2008,Course,Nintendo,37.32,82,3,Oui
New Super Mario Bros,DS,2006,Plateforme,Nintendo,30.8,84,3,Oui
New Super Mario Bros Wii,Wii,2009,Plateforme,Nintendo,30.01,87,3,Oui
Pokemon Rouge et Bleu,GB,1996,RPG,Nintendo,31.37,89,7,Non
Tetris,GB,1989,Puzzle,Nintendo,30.26,85,3,Oui
Wii Play,Wii,2006,Compilation,Nintendo,28.02,58,3,Oui
Duck Hunt,NES,1984,Tir,Nintendo,28.31,70,7,Oui
Super Smash Bros Ultimate,Switch,2018,Combat,Nintendo,28.99,93,12,Oui
GTA San Andreas,PS2,2004,Action,Rockstar,27.5,93,18,Oui
Zelda Breath of the Wild,Switch,2017,Aventure,Nintendo,29.41,97,12,Non
Nintendogs,DS,2005,Simulation,Nintendo,24.76,78,3,Non
Mario Kart DS,DS,2005,Course,Nintendo,23.6,91,3,Oui
Pokemon Or et Argent,GBC,1999,RPG,Nintendo,23.1,87,7,Non
Call of Duty Black Ops,PS3,2010,FPS,Activision,26.2,87,18,Oui
Super Mario World,SNES,1990,Plateforme,Nintendo,20.61,90,3,Non
Call of Duty Modern Warfare 2,PS3,2009,FPS,Activision,22.71,86,18,Oui
Cyberpunk 2077,PC,2020,RPG,CD Projekt,21.0,86,18,Non
Elden Ring,PS5,2022,RPG,Bandai Namco,20.5,96,16,Oui
Hogwarts Legacy,PS5,2023,RPG,Warner Bros,22.0,84,12,Non
Call of Duty Modern Warfare,PS4,2019,FPS,Activision,20.01,81,18,Oui
Red Dead Redemption 2,PS4,2018,Action,Rockstar,17.0,97,18,Oui
Pokemon Epee et Bouclier,Switch,2019,RPG,Nintendo,25.37,80,7,Non
Pokemon Diamant et Perle,DS,2006,RPG,Nintendo,17.67,85,7,Non
Pokemon X et Y,3DS,2013,RPG,Nintendo,16.44,87,7,Non
Brain Age,DS,2005,Education,Nintendo,19.01,77,3,Non
FIFA 18,PS4,2017,Sport,EA Sports,24.0,82,3,Oui
God of War,PS4,2018,Action,Sony,11.4,94,18,Non
Spider-Man,PS4,2018,Action,Sony,13.2,87,16,Non
Uncharted 4,PS4,2016,Aventure,Sony,8.7,93,16,Non
Horizon Zero Dawn,PS4,2017,RPG,Sony,7.6,89,16,Non
The Last of Us,PS3,2013,Action-Aventure,Sony,7.4,95,18,Non
Overwatch,PC,2016,FPS,Blizzard,7.0,91,12,Oui
Diablo III,PC,2012,RPG,Blizzard,30.0,88,16,Oui
Starcraft II,PC,2010,Strategie,Blizzard,6.0,93,12,Oui
The Sims 4,PC,2014,Simulation,EA,10.0,70,12,Non
Mortal Kombat 11,PS4,2019,Combat,Warner Bros,12.0,82,18,Oui
Tekken 7,PS4,2017,Combat,Bandai Namco,10.0,82,16,Oui
Sonic the Hedgehog 2,MD,1992,Plateforme,Sega,6.03,79,3,Oui
Pac-Man,Arcade,1980,Arcade,Namco,7.68,88,3,Oui
Clair Obscur Expedition 33,PC,2025,RPG,Kepler Interactive,3.0,91,16,Non
Zelda Ocarina of Time,N64,1998,Aventure,Nintendo,7.6,99,12,Non
Zelda Tears of the Kingdom,Switch,2023,Aventure,Nintendo,20.61,96,12,Non
Super Mario Odyssey,Switch,2017,Plateforme,Nintendo,27.0,97,3,Non
Super Mario Galaxy,Wii,2007,Plateforme,Nintendo,12.8,97,3,Non
Super Mario Galaxy 2,Wii,2010,Plateforme,Nintendo,7.41,97,3,Non
Super Mario 64,N64,1996,Plateforme,Nintendo,11.89,94,3,Non
Donkey Kong Country,SNES,1994,Plateforme,Nintendo,9.3,85,7,Oui
Street Fighter II,SNES,1992,Combat,Capcom,6.3,88,12,Oui
Mortal Kombat,SNES,1993,Combat,Midway,5.7,80,18,Oui
Final Fantasy VII,PS1,1997,RPG,Square,9.8,92,12,Non
Final Fantasy X,PS2,2001,RPG,Square,8.05,92,12,Non
Final Fantasy XV,PS4,2016,RPG,Square Enix,8.9,81,16,Non
Final Fantasy XVI,PS5,2023,RPG,Square Enix,3.0,87,18,Non
Dragon Quest XI,PS4,2017,RPG,Square Enix,6.5,88,12,Non
Monster Hunter World,PS4,2018,RPG,Capcom,21.0,90,16,Oui
Monster Hunter Rise,Switch,2021,RPG,Capcom,12.0,88,12,Oui
Resident Evil 2 Remake,PS4,2019,Horreur,Capcom,13.0,91,18,Non
Resident Evil 4 Remake,PS5,2023,Horreur,Capcom,6.9,93,18,Non
Resident Evil Village,PS5,2021,Horreur,Capcom,10.0,84,18,Non
Devil May Cry 5,PS4,2019,Action,Capcom,6.0,90,18,Non
Dark Souls III,PC,2016,RPG,Bandai Namco,10.0,89,16,Oui
Dark Souls,PC,2011,RPG,Bandai Namco,8.0,89,16,Oui
Sekiro,PC,2019,Action,Activision,5.0,90,18,Non
Bloodborne,PS4,2015,RPG,Sony,2.0,92,18,Non
Halo 3,Xbox 360,2007,FPS,Microsoft,12.06,94,16,Oui
Halo Infinite,Xbox Series,2021,FPS,Microsoft,10.0,87,12,Oui
Gears of War,Xbox 360,2006,TPS,Microsoft,5.0,94,18,Oui
Forza Horizon 5,Xbox Series,2021,Course,Microsoft,28.0,92,3,Oui
Forza Horizon 4,PC,2018,Course,Microsoft,12.0,92,3,Oui
Sea of Thieves,PC,2018,Aventure,Microsoft,40.0,69,12,Oui
Ori and the Blind Forest,PC,2015,Plateforme,Microsoft,3.0,88,7,Non
FIFA 22,PS5,2021,Sport,EA Sports,9.0,78,3,Oui
FIFA 23,PS5,2022,Sport,EA Sports,10.4,78,3,Oui
EA FC 24,PS5,2023,Sport,EA Sports,5.0,75,3,Oui
NBA 2K23,PS5,2022,Sport,2K Sports,5.0,73,3,Oui
NBA 2K24,PS5,2023,Sport,2K Sports,3.0,71,3,Oui
Madden NFL 23,PS5,2022,Sport,EA Sports,4.0,72,3,Oui
UFC 4,PS4,2020,Sport,EA Sports,3.0,74,16,Oui
WWE 2K23,PS5,2023,Sport,2K Sports,2.0,75,16,Oui
Tony Hawk Pro Skater 1+2,PS4,2020,Sport,Activision,5.0,90,12,Oui
Crash Bandicoot N Sane Trilogy,PS4,2017,Plateforme,Activision,10.0,80,7,Non
Spyro Reignited Trilogy,PS4,2018,Plateforme,Activision,6.0,79,7,Non
Skylanders Spyro's Adventure,Wii,2011,Action,Activision,5.0,82,7,Non
Assassins Creed II,PS3,2009,Action-Aventure,Ubisoft,9.0,91,18,Non
Assassins Creed Origins,PS4,2017,Action-Aventure,Ubisoft,10.0,81,18,Non
Assassins Creed Odyssey,PS4,2018,Action-Aventure,Ubisoft,10.0,83,18,Non
Assassins Creed Valhalla,PS5,2020,Action-Aventure,Ubisoft,20.0,82,18,Non
Assassins Creed Mirage,PS5,2023,Action-Aventure,Ubisoft,5.0,76,18,Non
Far Cry 5,PS4,2018,FPS,Ubisoft,10.0,83,18,Non
Far Cry 6,PS5,2021,FPS,Ubisoft,10.0,73,18,Non
Watch Dogs 2,PS4,2016,Action,Ubisoft,8.0,79,18,Non
